CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT
pl_level,,Level: %1,Niveau : %1,Nível %1,レベル：%1,Nivel: %1,Level: %1,Livello: %1
pl_metal,Debug: indicates the number of shock blocks allowed to be generated,metal q: %1,blocs métal : %1,blocos de metal q: %1,びっくりパネル：%1,blq. de metal: %1,Schockpanels: %1,Blocchi di metallo: %1
pl_moves,,Moves: %1,Déplacements : %1,Movimentos: %1,手数：%1,Movimientos: %1,Eingaben: %1,Movimenti: %1
pl_panel_info,,"Panel info:
row: %1
col: %2","Info grille :
ligne: %1
colonne: %2","Info do painel:
linha: %1
coluna: %2","パネル情報：
段：%1
列：%2","Info. panel:
fila: %1
col: %2","Panel Info:
Reihe: %1
Spalte: %2","Informazioni sulle tessere
riga: %1
colonna: %2"
pl_pre_stop,,Pre stop: %1,Délai pré stop : %1,Atraso ante-parada: %1,ストップ前：%1,Detención pre. :%1,Pre-Stop: %1,Pre stop: %1
pl_score,,Score: %1,Score : %1,Pontuação: %1,スコア：%1,Puntaje: %1,Score: %1,Punteggio: %1
pl_shake,,Shake: %1,Délai secousse : %1,Tremor: %1,床揺れ：%1,Sacudida: %1,Shake: %1,Scossa: %1
pl_spectate_join,,"Joined a match in progress.
Catching up...","Chargement du match en cours.
Synchronisation...","Entrou em partida em andamento.
Sincronizando...","進行中の対戦に入りました。
同期中…","Te uniste a una partida en progreso.
Sincronizando...","Einem laufenden Spiel beigetreten.
Hole zum aktuellen Stand auf...","Caricamento di una partita in corso.
Sincronizzazione..."
pl_spectators,,Spectator(s):,Spectateurs(s) :,Espectador(es):,観客：,Espectador(es)：,Zuschauer:,Spettatori:
pl_speed,,Speed: %1,Vitesse : %1,Velocidade: %1,SPEED LV：%1,Velocidad: %1,Geschwindigkeit: %1,Velocità: %1
pl_stop,,Stop: %1,Délai stop : %1,Parada: %1,ストップ：%1,Detención: %1,Stop: %1,Stop: %1
pl_time,,Time: %1,Temps : %1,Tempo: %1,時間：%1,Tiempo: %1,Zeit: %1,Tempo: %1
pl_time_out,,"game start timed out.
This is a known bug, but you may post it in #panel-attack-bugs-features
if you'd like.","Le chargement de la partie a pris trop de temps.
Ceci est un bug connu, mais vous pouvez le signaler sur notre discord sur :
#panel-attack-bugs-features","Tempo esgotado para partida começar.
Este é um bug conhecido, mas você pode postar em #panel-attack-bugs-features
se quiser.","ゲームの開始がタイムアウトしました。
これは既知のバグですが、＃panel-attack-bugs-featuresに報告してもいいですよ。","se agotó el tiempo para empezar la partida.
Este es un bug conocido, pero si queres puedes postearlo en #panel-attack-bugs-features","Verfügbare Zeit für den Spielstart wurde überschritten.
Das ist ein bekanntes Problem, aber du kannst es trotzdem in #panel-attack-bugs-features melden, wenn du möchtest.","Il caricamento della partita ha richiesto troppo tempo.
Questo è un bug gà noto, ma puoi postarlo su #panel-attack-bugs-features
se ti va."
pl_you_lose,,You lose :(,Vous avez perdu :(,Você perdeu :(,あなたの負け・・・。 -_-,Has perdido :(,Du hast verloren :-(,Hai perso :(
pl_you_win,,You win!,Vous avez gagné !,Você venceu!,あなたの勝ち！！＾＾,¡Has ganado!,Du hast gewonnen!,Hai vinto!
pz_info,,"Note: you may place new custom puzzles in


%appdata%\Panel Attack\puzzles


See the README and example puzzle set there
for instructions","Note: vous pouvez placer des puzzles personnalisés dans :


%appdata%\Panel Attack\puzzles


Lisez le fichier README, et alle voir les exemples.","Nota: você pode alocar novos quebra-cabeças personalizados em


%appdata%\Panel Attack\puzzles


Leia o README e o exemplo de quebra-cabeça definido lá
para instruções","注：新しいカスタムパズルを


%appdata%\Panel Attack\puzzles において下さい


使い方についてはそちらのREADMEとサンプルパズルをご覧下さい","Nota: Puedes añadir puzzles personalizados en


%appdata%\Panel Attack\puzzles


Revisa el archivo README y el set de puzzles de ejemplo en su correspondiente carpeta
para más infomación.","Anmerkung: Du kannst unter Windows neue selbstgemachte Puzzles an folgendem Pfad ablegen:

%appdata%\Panel Attack\puzzles
(kopiere es in die Navigationsleiste des Explorers und drücke Enter)

Schau dir für weitere Informationen die README und das Beispielpuzzleset an.","Nota: puoi inserire nuovi puzzle in:


%appdata%\Panel Attack\puzzles


Leggi il README e guarda i puzzle d'esempio che si trovano lì per avere istruzioni."
pz_puzzles,,Puzzles:,Puzzles :,Quebra-cabeças:,パズル：,Puzzles:,Puzzles:,Puzzles:
rp_endless,,endless,infini,Infinito,エンドレス,Interminable,Endlos,infinito
rp_no_endless,,I don't have an endless replay :(,Je n'ai pas de replay infini :(,Não possuo replay sem fim :(,エンドレスのリプレイはありません -_-,No encuentro ninguna repetición del modo Interminable :(,Ich habe kein Replay für Endless :-(,Non ho un replay della modalità infinito :(
rp_no_puzzle,,I don't have a puzzle replay :(,Je n'ai pas de replay puzzle :(,Não possuo replay de quebra-cabeça :(,パズルのリプレイはありません -_-,No encuentro ninguna repetición del modo Puzzle :(,Ich habe kein Puzzle Replay :-(,Non ho un replay della modalità puzzle :(
rp_no_replay,,I don't have a vs replay :(,Je n'ai pas de replay :(,Não possuo replay vs :(,VSリプレイはありません -_-,No encuentro ninguna repetición del modo VS :(,Ich habe kein VS Mode Replay :-(,Non ho un replay della modalità vs :(
rp_score,,"You scored %1
in %2","Vous avez fait %1
en %2","Você pontuou %1
em %2","スコア %1
プレイ時間 %2","Obtuviste %1 puntos
en %2",Du hast in %2 %1 Punkte erzielt,"Il tuo punteggio è %1
in 2%"
ss_casual,,Casual,Normal,Casual,カジュアル,Casual,Normal,Normale
ss_current_rating,,current:,courant :,atual:,現在：,Actual:,derzeitig:,corrente:
ss_disconnect,,Disconnected from server.,Vous êtes deconnecté du serveur.,Desconectado do servidor.,サーバーから切断されました。,Desconectado del servidor.,Verbindung zum Server verloren.,Disconnesso dal server.
ss_room_closed_in_game,Message shown when room closes mid game,"The connection to the match was lost. Usually this happens due to an unstable network connection from one of the players, but this could also be a bug or crash.","La connexion au match a été perdue. usuellement, cela se produit en raison d'une connexion réseau instable de l'un des joueurs, mais cela pourrait également être un bug ou un crash.","A conexão com a partida foi perdida. usoramente isso acontece devido a uma conexão de rede instável de um dos jogadores, mas isso também pode ser um bug ou acidente.",試合への接続が失われました。USLAVEこれは、プレーヤーの1つからの不安定なネットワーク接続が原因で起こりますが、これもバグやクラッシュになる可能性があります。,"La conexión con el partido se perdió. usualmente esto sucede debido a una conexión de red inestable de uno de los jugadores, pero esto también podría ser un error o un choque.","Die Verbindung zum Spiel war verloren. usuell passiert dies aufgrund einer instabilen Netzwerkverbindung von einem der Spieler, aber dies könnte auch ein Fehler oder ein Absturz sein.","La connessione alla partita è stata persa. usualmente ciò accade a causa di una connessione di rete instabile da uno dei giocatori, ma questo potrebbe anche essere un bug o un incidente."
ss_latency_error,Message shown when the connection is too unstable,The network connection is too unstable to continue the game. It could be your connection or the opponents.,La connexion réseau est trop instable pour continuer le jeu. Cela pourrait être votre connexion ou les adversaires.,A conexão de rede é muito instável para continuar o jogo. Pode ser sua conexão ou os adversários.,ネットワーク接続は、ゲームを続行するには不安定すぎます。それはあなたの接続または対戦相手かもしれません。,La conexión de red es demasiado inestable para continuar el juego. Podría ser tu conexión o a los oponentes.,"Die Netzwerkverbindung ist zu instabil, um das Spiel fortzusetzen. Es könnte Ihre Verbindung oder die Gegner sein.",La connessione di rete è troppo instabile per continuare il gioco. Potrebbe essere la tua connessione o gli avversari.
ss_average_frames_behind,Prints the average number of frames behind,Average frames behind: %1,Cadres moyens derrière: %1,Quadros médios por trás: %1,後ろの平均フレーム：％1,Marcos promedio detrás: %1,Durchschnittliche Rahmen hinter: %1,Cornici medi dietro: %1
ss_average_frames_behind_player,Prints the average number of frames behind a player was.,Average frames behind for %1 was %2,Les cadres moyens derrière pour %1 étaient %2,Quadros médios por %1 foi %2,％1の平均フレームは％2でした。,Los marcos promedio detrás de %1 fue %2.,Durchschnittliche Rahmen hinter %1 waren %2.,I telai medi dietro per %1 era %2.
ss_draw,,Draw,Egalité,Empate,引き分け,Empate,Unentschieden,Pareggio
ss_err_no_reason,,Reason unknown,Erreur inconnue,Motivo desconhecido,理由不明,Razón desconocida,Grund unbekannt,Ragione sconosciuta
ss_error_leave,,Error when leaving online,Erreur en quittant le serveur,Erro ao sair do servidor,オンラインを離れる際のエラー,Error al salir de en línea,Fehler beim Verlassen des Servers,Errore nell'uscita dal server
ss_expected_rating,,expected:,attendu :,expectativa:,予想：,Esperado:,erwartet:,atteso:
ss_init,,Waiting for room initialization...,En attente de la création de la salle...,Aguardando inicialização da sala...,ルームの初期化を待っています…,Esperando la inicialización de la sala.,Warte auf Initialisierung des Raumes,Attesa per l'inizializzazione della stanza...
ss_init_fail,,Room initialization failed.,Problème lors de la création de la salle.,Falha ao iniciar sala.,ルームの初期化に失敗しました。,Falló la inicialización de la sala.,Initialisierung des Raumes fehlgeschlagen.,Inizializzazione della stanza fallita.
ss_not_ranked,Message indicating not ranked right before the reason why,Not ranked.,Non classé.,Casual,レート変動なし。,Sin clasificar.,Nicht bewertet.,Non classificato.
ss_p_wins,,%1 wins,%1 gagne,%1 vence,%1の勝ち,%1 Gana,%1 gewinnt,%1 vince
ss_ranked,Message to indicated ranked play,Ranked,Classé,Ranqueada,レート戦,Clasificado,Ranked,Classificato
ss_rating,,Rating:,Classement :,Classificação:,レート：,Clasificación:,Punktzahl:,Classificazione:
ss_return,,Returning to main menu...,Retour au menu principal...,Voltar ao menu principal...,メインメニューに戻ります...,Regresando al menú principal...,Kehre zum Hauptmenü zurück...,Ritorno al menù principale...
ss_winrate,,Winrate:,Taux de victoire :,Taxa de vitórias:,勝率：,Racha de victorias:,Gewinnrate:,Rateo delle vittorie:
ss_wins,,Wins:,Victoires :,Vitórias:,勝ち：,Gana:,Siege:,Vittorie:
ss_ex_mode,,EX Mode,EX Mode,Modo EX,EXモード,Modo EX,EX,Modalità EX
rp_browser_header,,~ Replay Browser ~,~ Bibliothèque des replays ~,~ Navegador de Replays ~,～リプレイブラウザ～,~ Explorador de Repeticiones ~,~ Replay Browser ~,~ Navigatore Replay ~
rp_browser_info_header,,~ Replay Information ~,~ Information des replays ~,~ Informações de Replays ~,～リプレイ情報～,~ Información de la repetición ~,~ Replay Informationen ~,~ Informazioni Replay ~
rp_browser_current_dir,,Current directory: %1,Dossier actuel : %1,Pasta atual: %1,現在のディレクトリ：%1,Directorio actual: %1,Aktuelles Verzeichnis: %1,Elenco corrente: %1
rp_browser_up,,up,monter,acima,戻る,volver,zurück ins übergeordnete Verzeichnis,su
rp_browser_root,,root,racine,raiz,ルート,raíz,Wurzel,sorgente
rp_browser_more,,more,plus,mais,次,más,mehr,altro
rp_browser_info_2p_vs,,2P VS,2J VS,2J VS,2P VS,2J VS,2P VS,2P VS
rp_browser_info_1p_vs,,VS Yourself,VS soi-même,VS Você mesmo,じぶんとのたたかい,VS Tú,Gegen dich selbst,VS Te stesso
rp_browser_info_1p,,1P,1J,1J,1P,1J,1P,1P
rp_browser_info_2p,,2P,2J,2J,2P,2J,2P,2P
rp_browser_info_name,,Name: %1,Nom : %1,Apelido %1,名前：%1,Nombre: %1,Name: %1,Nome: 1%
rp_browser_info_level,,Level: %1,Niveau : %1,Nível: %1,LV：%1,Nivel: %1,Level: %1,Livello: 1%
rp_browser_info_character,,Character: %1,Personnage : %1,Personagem: 1%,キャラクター：%1,Personaje: %1,Charakter: %1,Personaggio: 1%
rp_browser_info_casual,,Casual Match,Match Normal,Partida Casual,カジュアル対戦,Partida Casual,Normale Partie,Partita Normale
rp_browser_info_ranked,,Ranked Match,Match Classé,Partida Ranqueada,レート対戦,Partida Clasificatoria,Bewertete Partie,Partita Classificata
rp_browser_info_endless,,Endless,Infini,Infinito,エンドレス,Interminable,Endless,Infinito
rp_browser_info_time_trial,,Time Trial,Contre la montre,Contra o Tempo,スコアアタック,Contrareloj,Time Attack,A Tempo
rp_browser_info_speed,,Speed: %1,Vitesse : %1,Velocidade: %1,SPEED LV：%1,Velocidad: %1,Geschwindigkeit: %1,Velocità: 1%
rp_browser_info_difficulty,,Difficulty: %1,Difficulté : %1,Dificuldade: %1,難易度：%1,Dificultad: %1,Schwierigkeit: %1,Difficoltà: 1%
rp_browser_info_puzzle,,Puzzle,Puzzle,Quebra-Cabeça,パズル：%1,Puzzle,Puzzle,Puzzle
rp_browser_watch,,"Press A/Confirm to view this replay, or B/Cancel to exit.","Appuyer sur A pour voir le replay, ou B pour quitter.",Aperte A/Confirme para ver este replay ou B/Cancelar para sair,Aボタンでリプレイを再生、Bボタンで戻る,"Presiona A/Confirmar para ver esta repetición, o B/Cancelar para salir.","Drücke A/Enter, um das Replay anzuschauen oder B/Escape, um zurückzukehren","Premi A/Conferma per vedere questo replay, o B/Annulla per uscire."
rp_browser_no_info,,No information available...,Pas d'informations disponibles...,Sem informações disponíveis...,情報はありません…,Sin información disponible...,Keine Informationen verfügbar...,Nessuna informazione disponibile...
rp_browser_error_unknown_replay_type,,Unknown replay type,Type de replay inconnu,Tipo de replay desconhecido,リプレイ種類不明,Tipo de repetición desconocida.,Unbekannter Replaytyp,Tipo di replay sconosciuto.
rp_browser_error_loading,,Error loading replay: %1,Erreur au chargement du replay : %1,Erro ao carregar replay: %1,リプレイ読み込みエラー：%1,Error cargando la repetición: %1,Fehler beim Laden des Replays: %1,Errore nel caricamento del replay: 1%
rp_browser_error_unknown_filetype,,Unknown filetype %1. (%2),Type de fichier inconnu %1. (%2),Tipo de arquivo desconhecido %1. (%2),ファイル種類%1不明。(%2),Formato de archivo desconocido %1. (%2),Unbekannter Dateityp %1. (%2),Tipo di file sconosciuto %1. (%2)
rp_browser_error_file_not_found,,File not found! (%1),Fichier introuvable ! (%1),Arquivo não encontrado! (%1),ファイルを見つけませんでした！,¡No se encontró el archivo! (%1),Datei nicht gefunden! (%1),File non trovato! (%1)
mm_replay_browser,,Replay Browser,Bibliothèque des replays,Navegador de Replays,リプレイブラウザ,Navegador de reproducción,Replay Browser,Navigatore Replay
continue_button,,Push any key!,Appuyez sur n'importe quelle touche!,Aperte qualquer tecla!,PUSH ANY KEY,¡Pulsa cualquier tecla!,Drücken Sie eine beliebige Taste!,Premi un tasto qualsiasi!
player_press_key,,Player %1 press any key,Le joueur %1 appuie sur n'importe quelle touche,O jogador %1 carregue em qualquer tecla,プレーヤー％1　PUSH ANY KEY,Jugador %1 presione cualquier tecla,Spieler %1 drücke eine beliebige Taste,Il giocatore %1 preme un tasto qualsiasi
config_input_welcome,Shown on the configure input screen,Set a input configuration for each keyboard / controller you want to be able to use.,Définissez une configuration d'entrée pour chaque clavier/contrôleur que vous souhaitez pouvoir utiliser.,Defina uma configuração de entrada para cada teclado / controlador que deseja usar.,使用するキーボード/コントローラーごとにキーコンフィグを設定して下さい。,Establezca una configuración de entrada para cada teclado / controlador que desee poder utilizar.,Gib eine Eingabekonfiguration für alle Kontroller oder Tastaturen an,Imposta una configurazione di input per ogni tastiera/controller che desideri utilizzare.
configuration,Configuration for controller / keyboard setup,Configuration,Configuration,Configuração,キーコンフィグ,Configuración,Konfiguration,Configurazione
