CODE,Context for translation,EN,FR,PT,JP,ES,GE,IT,TH
op_music_play,Play music button in Sound Test,Play,Play,Play,Play,Play,Play,Play,เล่น
op_music_stop,Stop music button in Sound Test,Stop,Arrêter,Pare,やめる,Detener,Stoppen,Fermare,หยุด
op_music_type,Select music type in Sound Test,Music type,La musique,Música,音楽,Música,Musik,Musica,ประเภทเพลง
op_music_sfx,Sound Effect in Sound Test,SFX,Sonner,Som,?,Sonar,Klang,Suono,เสียงประกอบ
op_panels,,Panels set,Choisir les blocs,Definir painéis,パネルセット,Set de paneles,Panelset,Scelta delle tessere,ชุด Panels
op_reload_analytics,,reloading analytics...,rechargement des statistiques...,recarregando estatísticas...,解析を再読み込みしています...,Recargando estadísticas...,Statistiken werden neugeladen...,Ricaricamento delle statistiche...,กำลังโหลด analytics อีกครั้ง
op_reload_characters,,reloading characters...,rechargement des personnages...,recarregando personagens...,キャラクターを再読み込みしています...,Recargando personajes...,Charaktere werden neugeladen...,Ricaricamento dei personaggi...,กำลังโหลดตัวละครอีกครั้ง
op_reload_stages,,reloading stages...,rechargement des terrains...,recarregando cenários...,ステージを再読み込みしています…,recargando escenarios...,Arenen werden neugeladen...,Ricarimento degli scenari...,กำลังโหลดด่านอีกครั้ง
op_reload_theme,,reloading theme...,rechargement du thème...,recarregando tema...,テーマを再読み込みしています…,recargando temas...,Themen werden neugeladen...,Ricaricamento dei temi...,กำลังโหลดธีมอีกครั้ง
op_replay_public,,Save replays publicly,Sauvegarder les replays publiquement,Salvar replays publicamente,リプレイを,Grabar repeticiones públicamente,Replays öffentlich abspeichern,Salva i replay pubblicamente,เซฟรีเพลย์แบบเปิดให้สาธารณะดูได้
op_replay_public_no,,No,Non,Não,公開しない,No,Nein,No,ไม่
op_replay_public_anonymously,,Anonymously,Anonymement,Anônimo,匿名で公開する,Anónimamente,Anonym,Anonimamente,ไม่ระบุตัวตน
op_replay_public_with_name,,With my name,Avec mon pseudo,Com meu apelido,ユーザー名付きで公開する,Con mi nombre,Mit meinem Benutzernamen,Con il mio nome,ด้วยชื่อของฉัน
op_rating_details,"Whether to show rating points, win rates etc",Show Rating Details,Afficher les détails de la notation,Mostrar detalhes de classificação,評価の詳細を表示します,Detalles de calificación de espectáculos,Bewertungsdetails anzeigen,Mostra i dettagli di valutazione,แสดงรายละเอียด Rating
op_save,,writing config to file...,sauvegarde de la configuration...,salvando configuração no arquivo...,ファイルに設定を書き込んでいます...,Escribiendo configuración al archivo...,Speichere Konfiguration in Datei...,Salvataggio delle configurazioni su file...,กำลังเขียน config ไปยัง file
op_vol,,Master Volume,Volume Global,Vol. principal,マスターボリューム,Volumen principal,Lautstärke,Volume principale,ระดับความดังเสียงโดยรวม
op_vol_music,,Music Volume,Volume Musique,Vol. da música,BGMボリューム,Volumen de música,Lautstärke der Musik,Volume della musica,ระดับความดังเสียงเพลง
op_vol_sfx,,SFX Volume,Volume Effets,Vol. Efeitos Esp.,SFXボリューム,Volumen de sonido,Lautstärke der Soundeffekte,Volume SFX,ระดับความดังเสียงประกอบ
op_input_delay,,Key repeat delay (offline only),Délai de répétition des touches,Atraso na repetição das teclas (apenas offline),DAS 設定（オフラインのみ）,Retraso de repetición de las teclas (Solo fuera de línea),Verzögerung für die Tastenwiederholung bei gedrückt halten (nur offline),Ritardo della ripetizione dell'input (solo offline),ดีเลย์การกดปุ่มซ้ำๆ
op_portrait_darkness,Options: darkness of the portraits in game,Portrait Darkness,Portrait Obscurité,Claridade de Retratos,背景の暗さ,Retrato Oscuridad,Helligkeit des Charakterporträts während des Spiels,Oscurità del ritratto,ความมืดของรูปภาพ
op_popfx,Options: Whether pop effects should show,Pop Effects,Effets Pop,Efeitos de Explosão,パネル消しエフェクト,efectos pop,Popeffekte,Effetti pop,เอฟเฟคต์เวลาพาเนลถูกทำลาย
op_renderTelegraph,Options: Whether the telegraph above the stack should show,Show Telegraph,Montrer le télégraphe,Mostrar telégrafo,テレグラフを表示,Mostrar telégrafo,Telegraph zeigen,Mostra telegrafo,แสดง Telegraph
op_renderAttacks,Options: Whether the telegraph attack animations should show,Show Attacks,Montrer des attaques,Mostrar ataques,攻撃を示す,Mostrar ataques,Angriffe anzeigen,Mostra attacchi,แสดง attack animation ของ telegraph
op_cardTransparency,Options: Whether the combo / chain cards should become transparent,Card Transparency,Transparence des cartes,Transparência do cartão,カードの透明性,Transparencia de la tarjeta,Kartentransparenz,Trasparenza della carta,แสดงการ์ดใส
op_cardfx_scale,Options: how far away the popfx particles converge onto your combo/chain before it pops,Attack Particle Distance,Distance des particules d'attaque,Alcance de Partículas de Ataque,攻撃パーティクル発生距離,Distancia de partículas de ataque,Skalierung der Popeffekte bei Kombos und Ketten,Distanza delle particelle di attacco,ระยะ attack particle
opponent_level,,Opponent's level,Niveau adverse,Nível do oponente,相手のレベル,Nivel del oponente,Level des Gegners,Livello dell'avversario,ระดับของคู่ต่อสู้
pl_pause_help,,Press Start again to resume,Appuyer sur Start pour continuer,Pressione Começar novamente para continuar,STARTで再開,"Presiona ""Start"" para resumir",Drücke Start um fortzufahren,"Premi ""Start"" di nuovo per riprendere",กด start อีกครั้งเพื่อเล่นต่อ
pl_1_win,,P1 wins ^^,J1 gagne ^^,J1 vence ^^,1Pの勝ち！ ＾＾,J1 gana ^^,Spieler 1 gewinnt,P1 vince ^^,ผู้เล่น 1 ชนะ ^^
pl_2_win,,P2 wins ^^,J2 gagne ^^,J2 vence ^^,2Pの勝ち！ ＾＾,J2 gana ^^,Spieler 2 gewinnt,P2 vince ^^,ผู้เล่น 2 ชนะ ^^
pl_cleared,,cleared: %1,détruit : %1,destruido: %1,消したパネル：%1個,despejado: %1,Cleared: %1,Completato: %1,เคลียร์แล้ว: %1
pl_frame,,Frame: %1,Frame : %1,Frame: %1,フレーム：%1,Cuadro: %1,Frame: %1,Frame: %1,เฟรม: %1
pl_game_start,,Game is starting!,La partie va commencer !,A partida está começando!,ゲームが始まります！,¡La partida va a comenzar!,Das Spiel beginnt!,Il gioco sta per inziare!,เกมกำลังเริ่ม !
pl_gameover,,Game Over,Terminé,Fim de jogo,ゲームオーバー,Fin del juego,Game Over,Gioco finito,เกมจบแล้ว
pl_health,,Health: %1,Vie : %1,Vida: %1,猶予：%1,Salud: %1,Leben: %1,Vita: %1,พลังชีวิต: %1
pl_level,,Level: %1,Niveau : %1,Nível %1,レベル：%1,Nivel: %1,Level: %1,Livello: %1,ระดับ: %1
pl_metal,Debug: indicates the number of shock blocks allowed to be generated,metal q: %1,blocs métal : %1,blocos de metal q: %1,びっくりパネル：%1,blq. de metal: %1,Schockpanels: %1,Blocchi di metallo: %1,จำนวน shock panels: %1
pl_moves,,Moves: %1,Déplacements : %1,Movimentos: %1,手数：%1,Movimientos: %1,Eingaben: %1,Movimenti: %1,การเคลื่อนไหว: %1
pl_panel_info,,"Panel info:
row: %1
col: %2","Info grille :
ligne: %1
colonne: %2","Info do painel:
linha: %1
coluna: %2","パネル情報：
段：%1
列：%2","Info. panel:
fila: %1
col: %2","Panel Info:
Reihe: %1
Spalte: %2","Informazioni sulle tessere
riga: %1
colonna: %2","ข้อมูลพาเนล:
แถว: %1
คอลัมน์: %2"
pl_pre_stop,,Pre stop: %1,Délai pré stop : %1,Atraso ante-parada: %1,ストップ前：%1,Detención pre. :%1,Pre-Stop: %1,Pre stop: %1,ก่อน stop: %1
pl_score,,Score: %1,Score : %1,Pontuação: %1,スコア：%1,Puntaje: %1,Score: %1,Punteggio: %1,คะแนน: %1
pl_shake,,Shake: %1,Délai secousse : %1,Tremor: %1,床揺れ：%1,Sacudida: %1,Shake: %1,Scossa: %1,สั่น: %1
pl_spectate_join,,"Joined a match in progress.
Catching up...","Chargement du match en cours.
Synchronisation...","Entrou em partida em andamento.
Sincronizando...","進行中の対戦に入りました。
同期中…","Te uniste a una partida en progreso.
Sincronizando...","Du bist einem laufenden Spiel beigetreten.
Hole zum aktuellen Stand auf...","Caricamento di una partita in corso.
Sincronizzazione...","เข้าร่วมเกมที่กำลังแข่งอยู่สำเร็จ
กำลังอัพเดทข้อมูลล่าสุด"
pl_spectators,,Spectator(s):,Spectateurs(s) :,Espectador(es):,観客：,Espectador(es)：,Zuschauer:,Spettatori:,คนดู:
pl_speed,,Speed: %1,Vitesse : %1,Velocidade: %1,SPEED LV：%1,Velocidad: %1,Geschwindigkeit: %1,Velocità: %1,ความเร็ว: %1
pl_stop,,Stop: %1,Délai stop : %1,Parada: %1,ストップ：%1,Detención: %1,Stop: %1,Stop: %1,หยุด: %1
pl_time,,Time: %1,Temps : %1,Tempo: %1,時間：%1,Tiempo: %1,Zeit: %1,Tempo: %1,เวลา: %1
pl_time_out,,"game start timed out.
This is a known bug, but you may post it in #panel-attack-bugs-features
if you'd like.","Le chargement de la partie a pris trop de temps.
Ceci est un bug connu, mais vous pouvez le signaler sur notre discord sur :
#panel-attack-bugs-features","Tempo esgotado para partida começar.
Este é um bug conhecido, mas você pode postar em #panel-attack-bugs-features
se quiser.","ゲームの開始がタイムアウトしました。
これは既知のバグですが、＃panel-attack-bugs-featuresに報告してもいいですよ。","se agotó el tiempo para empezar la partida.
Este es un bug conocido, pero si queres puedes postearlo en #panel-attack-bugs-features","Die verfügbare Zeit für den Spielstart wurde überschritten.
Das ist ein bekanntes Problem, aber du kannst es trotzdem in #panel-attack-bugs melden, wenn du möchtest.","Il caricamento della partita ha richiesto troppo tempo.
Questo è un bug gà noto, ma puoi postarlo su #panel-attack-bugs-features
se ti va.","ช่วงเริ่มเกมใช้เวลามากเกินปกติ

Bug นี้ทางทีมงานรับทราบแล้ว แต่คุณจะโพสต์แจ้งใน #panel-attack-bugs-features ก็ได้"
pl_you_lose,,You lose :(,Vous avez perdu :(,Você perdeu :(,あなたの負け・・・。 -_-,Has perdido :(,Du hast verloren :-(,Hai perso :(,คุณแพ้ :(
pl_you_win,,You win!,Vous avez gagné !,Você venceu!,あなたの勝ち！！＾＾,¡Has ganado!,Du hast gewonnen!,Hai vinto!,คุณชนะ!
pz_info,,"Note: you may place new custom puzzles in


%appdata%\Panel Attack\puzzles


See the README and example puzzle set there
for instructions","Note: vous pouvez placer des puzzles personnalisés dans :


%appdata%\Panel Attack\puzzles


Lisez le fichier README, et alle voir les exemples.","Nota: você pode alocar novos quebra-cabeças personalizados em


%appdata%\Panel Attack\puzzles


Leia o README e o exemplo de quebra-cabeça definido lá
para instruções","注：新しいカスタムパズルを


%appdata%\Panel Attack\puzzles において下さい


使い方についてはそちらのREADMEとサンプルパズルをご覧下さい","Nota: Puedes añadir puzzles personalizados en


%appdata%\Panel Attack\puzzles


Revisa el archivo README y el set de puzzles de ejemplo en su correspondiente carpeta
para más infomación.","Anmerkung: Du kannst unter Windows neue, selbstgemachte Puzzles an folgendem Pfad ablegen:

%appdata%\Panel Attack\puzzles
(Kopiere das in die Navigationsleiste des Explorers und drücke danach Enter, sieh für andere Betriebssysteme unter http://panelattack.com/faq.html nach)

Schau dir für weitere Informationen die README und das Beispielpuzzleset an.","Nota: puoi inserire nuovi puzzle in:


%appdata%\Panel Attack\puzzles


Leggi il README e guarda i puzzle d'esempio che si trovano lì per avere istruzioni.","Note: คุณสามารถวาง custom puzzles ใน

%appdata%\Panel Attack\puzzles

สามารถดูวิธีใช้ใน README และตัวอย่าง puzzle ที่อยู่ในนั้นได้"
pz_puzzles,,Puzzles:,Puzzles :,Quebra-cabeças:,パズル：,Puzzles:,Puzzles:,Puzzles:,Puzzles:
rp_endless,,endless,infini,Infinito,エンドレス,Interminable,Endlos,infinito,ไม่รู้จบ
rp_no_endless,,I don't have an endless replay :(,Je n'ai pas de replay infini :(,Não possuo replay sem fim :(,エンドレスのリプレイはありません -_-,No encuentro ninguna repetición del modo Interminable :(,Ich habe kein Replay für Endless :-(,Non ho un replay della modalità infinito :(,ฉันไม่มี replay โหมดไม่รู้จบ :(
rp_no_puzzle,,I don't have a puzzle replay :(,Je n'ai pas de replay puzzle :(,Não possuo replay de quebra-cabeça :(,パズルのリプレイはありません -_-,No encuentro ninguna repetición del modo Puzzle :(,Ich habe kein Puzzle Replay :-(,Non ho un replay della modalità puzzle :(,ฉันไม่มี replay โหมด puzzle :(
rp_no_replay,,I don't have a vs replay :(,Je n'ai pas de replay :(,Não possuo replay vs :(,VSリプレイはありません -_-,No encuentro ninguna repetición del modo VS :(,Keine Replays vorhanden. :-(,Non ho un replay della modalità vs :(,ฉันไม่มี replay โหมด vs :(
rp_score,,"You scored %1
in %2","Vous avez fait %1
en %2","Você pontuou %1
em %2","スコア %1
プレイ時間 %2","Obtuviste %1 puntos
en %2",Du hast in %2 %1 Punkte erzielt,"Il tuo punteggio è %1
in 2%","คุณได้คะแนน %1
ใน %2"
ss_casual,,Casual,Normal,Casual,カジュアル,Casual,Normal,Normale,แคชชวล
ss_controller,Type of input method – controller,Controller,Manette,Controlador,コントローラ,Controlador,Regler,Controller,จอย
ss_current_rating,,current:,courant :,atual:,現在：,Actual:,derzeitig:,corrente:,ปัจจุบัน:
ss_disconnect,,Disconnected from server.,Vous êtes deconnecté du serveur.,Desconectado do servidor.,サーバーから切断されました。,Desconectado del servidor.,Verbindung zum Server verloren.,Disconnesso dal server.,ถูกตัดขาดจาก server
ss_could_not_connect,Shown when the server could not be reached,Could not connect to the server.,Ne peut se connecter au serveur.,Não pôde conectar-se ao servidor.,サーバーに接続できませんでした。,No se puede conectar con el servidor.,Konnte keine Verbindung zum Server herstellen.,Impossibile connettersi al server.,ไม่สามารถเชื่อมต่อกับ server ได้
ss_room_closed_in_game,Message shown when room closes mid game,"The connection to the match was lost. Usually this happens due to an unstable network connection from one of the players, but this could also be a bug or crash.","La connexion au match a été perdue. usuellement, cela se produit en raison d'une connexion réseau instable de l'un des joueurs, mais cela pourrait également être un bug ou un crash.","A conexão com a partida foi perdida. usoramente isso acontece devido a uma conexão de rede instável de um dos jogadores, mas isso também pode ser um bug ou acidente.",試合への接続が失われました。USLAVEこれは、プレーヤーの1つからの不安定なネットワーク接続が原因で起こりますが、これもバグやクラッシュになる可能性があります。,"La conexión con el partido se perdió. usualmente esto sucede debido a una conexión de red inestable de uno de los jugadores, pero esto también podría ser un error o un choque.","Die Verbindung zum Spiel wurde unterbrochen. Normalerweise passiert dies aufgrund einer instabilen Netzwerkverbindung von einem der Spieler, allerdings kann der Verbindungsabbruch auch durch einen Programmabsturz beim Gegner hervorgerufen worden sein.","La connessione alla partita è stata persa. usualmente ciò accade a causa di una connessione di rete instabile da uno dei giocatori, ma questo potrebbe anche essere un bug o un incidente.",การเชื่อมต่อล้มเหลว\nปกติจะเกิดจากการเชื่อมต่อของผู้เล่นคนใดคนหนึ่งไม่เสถียร\nหรืออาจเกิดจาก bug หรือ crash
ss_latency_error,Message shown when the connection is too unstable,The network connection is too unstable to continue the game. It could be your connection or the opponent's.,La connexion réseau est trop instable pour continuer le jeu. Cela pourrait être votre connexion ou les adversaires.,A conexão de rede é muito instável para continuar o jogo. Pode ser sua conexão ou os adversários.,ネットワーク接続は、ゲームを続行するには不安定すぎます。それはあなたの接続または対戦相手かもしれません。,La conexión de red es demasiado inestable para continuar el juego. Podría ser tu conexión o a los oponentes.,"Die Netzwerkverbindung ist zu instabil, um das Spiel fortzusetzen. Es könnte deine Verbindung oder die des Gegners sein.",La connessione di rete è troppo instabile per continuare il gioco. Potrebbe essere la tua connessione o gli avversari.,การเชื่อมต่อไม่เสถียรพอที่จะเล่นต่อไปได้ อาจเกิดจาก internet ของคุณ หรือไม่ก็คู่แข่ง
ss_average_frames_behind,Prints the average number of frames behind,Average frames behind: %1,Cadres moyens derrière: %1,Quadros médios por trás: %1,後ろの平均フレーム：％1,Marcos promedio detrás: %1,Durchschnittliche Frames Verzögerung: %1,Cornici medi dietro: %1,เฟรมที่ตามหลังอยู่โดยเฉลี่ย: %1
ss_average_frames_behind_player,Prints the average number of frames behind a player was.,Average frames behind for %1 was %2,Les cadres moyens derrière pour %1 étaient %2,Quadros médios por %1 foi %2,％1の平均フレームは％2でした。,Los marcos promedio detrás de %1 fue %2.,Durchschnittliche Frames hinter %1 waren %2.,I telai medi dietro per %1 era %2.,เฟรมที่ตามหลังอยู่โดยเฉลี่ยของ %1 คือ %2
ss_draw,,Draw,Egalité,Empate,引き分け,Empate,Unentschieden,Pareggio,เสมอ
ss_err_no_reason,,Reason unknown,Erreur inconnue,Motivo desconhecido,理由不明,Razón desconocida,Grund unbekannt,Ragione sconosciuta,สาเหตุไม่แน่ชัด
ss_error_leave,,Error when leaving online,Erreur en quittant le serveur,Erro ao sair do servidor,オンラインを離れる際のエラー,Error al salir de en línea,Fehler beim Verlassen des Servers,Errore nell'uscita dal server,Error ขณะออกจากโหมดออนไลน์
ss_expected_rating,,expected:,attendu :,expectativa:,予想：,Esperado:,erwartet:,atteso:,ที่คาดไว้คือ :
ss_init,,Waiting for room initialization...,En attente de la création de la salle...,Aguardando inicialização da sala...,ルームの初期化を待っています…,Esperando la inicialización de la sala.,Warte auf Initialisierung des Raumes...,Attesa per l'inizializzazione della stanza...,กำลังสร้างห้อง...
ss_init_fail,,Room initialization failed.,Problème lors de la création de la salle.,Falha ao iniciar sala.,ルームの初期化に失敗しました。,Falló la inicialización de la sala.,Initialisierung des Raumes fehlgeschlagen.,Inizializzazione della stanza fallita.,การสร้างห้องไม่สำเร็จ
ss_not_ranked,Message indicating not ranked right before the reason why,Not ranked.,Non classé.,Casual,レート変動なし。,Sin clasificar.,Nicht bewertet.,Non classificato.,ไม่ได้เล่นแบบ ranked
ss_p_wins,,%1 wins,%1 gagne,%1 vence,%1の勝ち,%1 Gana,%1 gewinnt,%1 vince,%1 ชนะ
ss_ranked,Message to indicated ranked play,Ranked,Classé,Ranqueada,レート戦,Clasificado,Ranked,Classificato,เล่นแบบ ranked
ss_rating,,Rating:,Classement :,Classificação:,レート：,Clasificación:,Rang:,Classificazione:,เรทติ้ง:
ss_return,,Returning to main menu...,Retour au menu principal...,Voltar ao menu principal...,メインメニューに戻ります...,Regresando al menú principal...,Kehre zum Hauptmenü zurück...,Ritorno al menù principale...,กำลังกลับสู่เมนูหลัก
ss_touch,"Type of input method – touch, as in “touch screen”",Touch,Toucher,Toque,接する,Tocar,Berühren,Tocco,สัมผัส
ss_winrate,,Winrate:,Taux de victoire :,Taxa de vitórias:,勝率：,Racha de victorias:,Gewinnrate:,Rateo delle vittorie:,อัตราการชนะ:
ss_wins,,Wins:,Victoires :,Vitórias:,勝ち：,Gana:,Siege:,Vittorie:,จำนวนเกมที่ชนะ:
ss_ex_mode,,EX Mode,EX Mode,Modo EX,EXモード,Modo EX,EX,Modalità EX,โหมด EX 
rp_browser_header,,~ Replay Browser ~,~ Bibliothèque des replays ~,~ Navegador de Replays ~,～リプレイブラウザ～,~ Explorador de Repeticiones ~,~ Replay Browser ~,~ Navigatore Replay ~,- คลัง replay -
rp_browser_info_header,,~ Replay Information ~,~ Information des replays ~,~ Informações de Replays ~,～リプレイ情報～,~ Información de la repetición ~,~ Replay Informationen ~,~ Informazioni Replay ~,- ข้อมูล replay -
rp_browser_current_dir,,Current directory: %1,Dossier actuel : %1,Pasta atual: %1,現在のディレクトリ：%1,Directorio actual: %1,Aktuelles Verzeichnis: %1,Elenco corrente: %1,ไดเรคทอรี่ปัจจุบัน: %1
rp_browser_up,,up,monter,acima,戻る,volver,zurück ins übergeordnete Verzeichnis,su,ขึ้น
rp_browser_root,,root,racine,raiz,ルート,raíz,Wurzel,sorgente,root
rp_browser_more,,more,plus,mais,次,más,mehr,altro,more
rp_browser_info_2p_vs,,2P VS,2J VS,2J VS,2P VS,2J VS,2P VS,2P VS,2P VS
rp_browser_info_1p_vs,,VS Yourself,VS soi-même,VS Você mesmo,じぶんとのたたかい,VS Tú,1P gegen dich selbst,VS Te stesso,แข่งกับตัวเอง
rp_browser_info_1p,,1P,1J,1J,1P,1J,1P,1P,1P
rp_browser_info_2p,,2P,2J,2J,2P,2J,2P,2P,2P
rp_browser_info_name,,Name: %1,Nom : %1,Apelido %1,名前：%1,Nombre: %1,Name: %1,Nome: 1%,ชื่อ: %1
rp_browser_info_level,,Level: %1,Niveau : %1,Nível: %1,LV：%1,Nivel: %1,Level: %1,Livello: 1%,ระดับ: %1
rp_browser_info_character,,Character: %1,Personnage : %1,Personagem: 1%,キャラクター：%1,Personaje: %1,Charakter: %1,Personaggio: 1%,ตัวละคร: %1
rp_browser_info_casual,,Casual Match,Match Normal,Partida Casual,カジュアル対戦,Partida Casual,Normale Partie,Partita Normale,แข่งแบบ Casual
rp_browser_info_ranked,,Ranked Match,Match Classé,Partida Ranqueada,レート対戦,Partida Clasificatoria,Bewertete Partie,Partita Classificata,แข่งแบบ Ranked
rp_browser_info_endless,,Endless,Infini,Infinito,エンドレス,Interminable,Endlos,Infinito,ไม่รู้จบ
rp_browser_info_time_trial,,Time Trial,Contre la montre,Contra o Tempo,スコアアタック,Contrareloj,Time Attack,A Tempo,Time Trial
rp_browser_info_speed,,Speed: %1,Vitesse : %1,Velocidade: %1,SPEED LV：%1,Velocidad: %1,Geschwindigkeit: %1,Velocità: 1%,ความเร็ว: %1
rp_browser_info_difficulty,,Difficulty: %1,Difficulté : %1,Dificuldade: %1,難易度：%1,Dificultad: %1,Schwierigkeit: %1,Difficoltà: 1%,ความยาก: %1
rp_browser_info_puzzle,,Puzzle,Puzzle,Quebra-Cabeça,パズル：%1,Puzzle,Puzzle,Puzzle,Puzzle
rp_browser_watch,,"Press A/Confirm to view this replay, or B/Cancel to exit.","Appuyer sur A pour voir le replay, ou B pour quitter.",Aperte A/Confirme para ver este replay ou B/Cancelar para sair,Aボタンでリプレイを再生、Bボタンで戻る,"Presiona A/Confirmar para ver esta repetición, o B/Cancelar para salir.","Drücke A/Enter, um das Replay anzuschauen oder B/Escape, um zurückzukehren","Premi A/Conferma per vedere questo replay, o B/Annulla per uscire.",กด A/Confirm เพื่อดูรีเพลย์นี้ หรือ B/Cancel เพื่อออก
rp_browser_no_info,,No information available...,Pas d'informations disponibles...,Sem informações disponíveis...,情報はありません…,Sin información disponible...,Keine Informationen verfügbar...,Nessuna informazione disponibile...,ไม่มีข้อมูลให้ดู
rp_browser_error_unknown_replay_type,,Unknown replay type,Type de replay inconnu,Tipo de replay desconhecido,リプレイ種類不明,Tipo de repetición desconocida.,Unbekannter Replaytyp,Tipo di replay sconosciuto.,ไม่รู้จักประเภทของรีเพลย์
rp_browser_error_loading,,Error loading replay: %1,Erreur au chargement du replay : %1,Erro ao carregar replay: %1,リプレイ読み込みエラー：%1,Error cargando la repetición: %1,Fehler beim Laden des Replays: %1,Errore nel caricamento del replay: 1%,Error ระหว่างโหลดรีเพลย์: %1
rp_browser_error_unknown_filetype,,Unknown filetype %1. (%2),Type de fichier inconnu %1. (%2),Tipo de arquivo desconhecido %1. (%2),ファイル種類%1不明。(%2),Formato de archivo desconocido %1. (%2),Unbekannter Dateityp %1. (%2),Tipo di file sconosciuto %1. (%2),ไม่รู้จักประเภทไฟล์ %1. (%2)
rp_browser_error_file_not_found,,File not found! (%1),Fichier introuvable ! (%1),Arquivo não encontrado! (%1),ファイルを見つけませんでした！,¡No se encontró el archivo! (%1),Datei nicht gefunden! (%1),File non trovato! (%1),ไม่พบไฟล์! (%1)
rp_browser_wrong_version,Error shown when trying to load a old version replay,This replay can not be viewed because it was played on a different version of the game.,Cette rediffusion ne peut pas être vue car elle a été jouée sur une version différente du jeu.,Essa repetição não pode ser vista porque foi jogada em uma versão diferente do jogo.,このリプレイは、ゲームの別のバージョンで再生されたため表示できません。,Esta repetición no se puede ver porque se jugó en una versión diferente del juego.,"Diese Wiederholung kann nicht angesehen werden, da sie auf einer älteren Version des Spiels gespielt wurde. Du kannst auf dem Discord-Server nach einer geeigneten Version zum abspielen fragen.",Questo replay non può essere visto perché è stato giocato su una versione diversa del gioco.,รีเพลย์นี้ ดูไม่ได้ เพราะเป็นรีเพลย์ของเกมเวอร์ชันอื่น
mm_replay_browser,,Replay Browser,Bibliothèque des replays,Navegador de Replays,リプレイブラウザ,Navegador de reproducción,Replay Browser,Navigatore Replay,ดูรีเพลย์
continue_button,Text shown to press any key to continue,Press Any Button,Appuyer sur un bouton,Pressione qualquer botão,任意のボタンを押します,Pulse cualquier botón,Bitte drücke eine beliebige Taste.,Premere qualsiasi pulsante,กดปุ่มใดก็ได้
player_press_key,,Player %1 press any key,Le joueur %1 appuie sur n'importe quelle touche,O jogador %1 carregue em qualquer tecla,プレーヤー％1　PUSH ANY KEY,Jugador %1 presione cualquier tecla,Spieler %1: Drücke eine beliebige Taste,Il giocatore %1 preme un tasto qualsiasi,ผู้เล่น %1 กดปุ่มใดก็ได้
config_input_welcome,Shown on the configure input screen,Set a input configuration for each keyboard / controller you want to be able to use.,Définissez une configuration d'entrée pour chaque clavier/contrôleur que vous souhaitez pouvoir utiliser.,Defina uma configuração de entrada para cada teclado / controlador que deseja usar.,使用するキーボード/コントローラーごとにキーコンフィグを設定して下さい。,Establezca una configuración de entrada para cada teclado / controlador que desee poder utilizar.,Gib eine Eingabekonfiguration für deinen Kontroller oder deine Tastaturen an.,Imposta una configurazione di input per ogni tastiera/controller che desideri utilizzare.,ตั้งค่าปุ่ม สำหรับ keyboard / controller ที่ต้องการใช้
configuration,Configuration for controller / keyboard setup,Configuration,Configuration,Configuração,キーコンフィグ,Configuración,Konfiguration,Configurazione,ตั้งค่า
love_version_warning,Warning shown to users using love 11.3,"You are using an outdated version of Panel Attack which uses an old LOVE version, please download the latest version from the website / discord.","Vous utilisez une version obsolète de l'attaque de panneau qui utilise une ancienne version d'amour, veuillez télécharger la dernière version du site Web / Discord.","Você está usando uma versão desatualizada do painel de ataque que usa uma versão antiga do amor, faça o download da versão mais recente do site / discórdia.",古いLoveバージョンを使用する古いバージョンのパネル攻撃を使用しています。ウェブサイト / Discordから最新バージョンをダウンロードしてください。,"Está utilizando una versión obsoleta de Panel Attack que utiliza una vieja versión de amor, descargue la última versión del sitio web / discordia.","Du verwendest eine Version von Panel Attack, die eine veraltete LÖVE-Version verwendet. Bitte lade die neueste Version von der Website oder dem Discord herunter.","Stai usando una versione obsoleta dell'attacco del pannello che utilizza una vecchia versione d'amore, scarica l'ultima versione dal sito Web / discordia.",คุณกำลังใช้ Panel Attack เวอร์ชั่นเก่า กรุณาดาวน์โหลดเวอร์ชั่นล่าสุดจาก website หรือ discord
challenge_difficulty_1,level 2 - very few attacks basically just surviving,Breezy (Easy),Breezy (facile),Breezy (fácil),さわやかな（簡単）,Breezy (fácil),Luftig (leicht),Breezy (facile),Breezy (ง่าย)
challenge_difficulty_2,level 4 - some attacks mostly just surviving,Windy (Normal),Windy (normal),Vento (normal),風が強い（通常）,Viento (normal),Windig (normal),Ventoso (normale),Windy (ปานกลาง)
challenge_difficulty_3,level 6 - attacking and surviving,Gusty (Hard),À l'esprit (dur),Gusty (duro),gusty（ハード）,Gusty (duro),Böig (schwer),Gusty (duro),Gusty (ยาก)
challenge_difficulty_4,level 6 - learning to win while constantly under pressure,Stormy (Very Hard),Stormy (très dur),Stormy (muito difícil),ストーミー（とても難しい）,Stormy (muy duro),Stürmisch (sehr schwer),Stormy (molto duro),Stormy (ยากมาก)
challenge_difficulty_5,level 8 - an average level 8 challenge,Turbulent,Turbulent,Turbulento,乱流,Turbulento,Turbulent,Turbolento,Turbulent
challenge_difficulty_6,level 10 - an average level 10 challenge,Whirlwind,Tourbillon,Turbilhão,旋風,Torbellino,Wirbelwind,Turbine,Whirlwind
challenge_difficulty_7,level 10 - a hard level 10 challenge,Tempest,Tempête,Tempestade,嵐,Tempestad,Sturm,Tempesta,Tempest
challenge_difficulty_8,level 10 - a really hard level 10 challenge,Hurricane,Ouragan,Furacão,ハリケーン,Huracán,Hurrikan,Uragano,Hurricane
